12,11;26,31;16,12;1;1,59;31,2;0,975;0;0;52,96;2,93;30,55;16,35;0,22;3,91;15,12;29,82;15,94;2;3,34;51,05;2,84;0;0;445;5,14;24,69;28,25;0,61;0,41;14,99;29,85;17,41;2;3,56;51,11;2,09;0;0;373;3,79;28,59;23,24;1,15;1,1
15,12;31,5;25,07;3;0,8;29,64;1,5;0;0;1,07;3,01;22,92;14,36;0,11;1,14;15,98;31,61;19,94;4;4,05;55,48;5,02;0;0;4,2;5,2;20,67;39,62;1,48;2,92;14,97;30,63;22,08;3;5,16;52,87;5,3;0;0;0,8;3,9;20,58;37,6;1,19;0,87
16,72;36,11;30,35;7;1,05;29,45;1,53;0;0;0,01;2,37;19,9;34,01;0;7,27;16,41;35,71;22,17;5;3,71;55,75;4,98;0;0;11,8;4,85;10,97;36,87;0,12;11,7;16,69;32,07;24,47;6;4,46;53,48;4,68;0;0;19,94;4,15;12,27;37,43;0,34;13,56
15,52;31,88;25,48;4;2,16;35,31;1,5;0;0;110;3,14;25,38;36,11;0,76;8,69;18,27;35,47;23,94;11;2,82;65,03;3,65;0;0;364;4,83;8,69;30,98;3,47;9,68;17,42;33,97;23,84;8;3,35;61,62;3,64;0;0;588;4,14;11,64;32,28;2,65;9,11
15,77;32,84;25,72;4;1,01;33,1;1,49;0;0;88,7;1,28;30,99;18,65;0,1;1,99;16,49;31,62;20,13;5;3,42;60,4;4,89;0;0;346,5;3,65;21,92;12,31;1,5;4,43;17,18;31,36;25,14;7;3,24;49,8;4,83;0;0;342;4,84;16,87;22,3;1,93;4,86
19,43;42,31;34,08;20;0,97;34,48;1,29;0;0;144,5;2,62;32,4;26,46;1,02;3,11;18,43;38,27;24,92;11;3,87;54,58;4,87;0;0;347,7;5,39;25,43;35,01;2,06;6,56;18,46;37,72;28,89;13;5,52;55,76;5,07;0;0;528;5,29;26,48;39,32;4,13;6,35
16,94;36,07;28,49;8;0,93;27,97;1,92;0;0;8,37;1,88;32,04;18,58;0,05;3,2;16,64;32,29;19,36;5;4,4;58,64;5,24;0;0;0,87;4,86;16,05;23,18;0,01;2,03;17,66;35,65;27,27;9;3,56;49,07;3,25;0;0;63,98;4,45;13,92;30,89;0,21;4,42
18,24;38,32;32,1;11;0,6;28,28;1,45;0;0;156,56;0,9;8,72;37,42;0,46;4,71;15,44;29,35;17,23;3;4,06;56,71;3,84;0;0;486,5;5,67;15,08;30,38;0,99;3,38;16,47;35,23;24,67;5;2,37;40,33;3,19;0;0;109,4;2,95;9,9;30,57;1,69;3,15
15,23;33,28;25,51;3;0,87;30,42;1,85;0;0;206,5;4,86;45,6;28,52;0;2,81;16,4;33,85;18,94;5;3,46;55,63;4,66;0;0;254,6;4,17;24,5;38,34;0;5,06;16,19;33,54;24,04;5;3,45;44,16;4,25;0;0;433,26;6,5;34,4;31,88;0,32;8,01
18,05;40,48;29,97;12;0,84;30,93;1,38;0;0;1,45;1,34;13,5;26,34;0;0,12;15,9;32,02;19,4;4;2,54;47,1;5,42;0,21;0;38,91;2,36;27,16;37,09;0,45;1,37;17,68;35,63;25,34;9;2,89;46,2;4,08;0;0;67,49;2,23;19,98;40,54;1,6;2,98
16,3;35,5;27,6;6;0,8;28,97;1,16;0;0;131,2;3,1;22,66;14,03;0,04;1,86;17,93;37,33;19,4;9;1,92;50,1;4,35;0;0;690,7;4,48;16,46;10,5;1,01;3,99;16,8;33,72;26,06;7;5;51,1;4,62;0;0;695,9;4,01;18;16,41;1,71;4,72
18,31;40,43;30,73;13;1,03;32,14;1,35;0;0;95,7;2,43;26,68;21,44;0;0,23;17,64;35,1;20,02;8;3,91;58,21;5,76;0;0;298;4,15;26,77;25,23;0,12;1,33;17,87;32,84;27,33;10;4,42;56,99;3,56;0;0;335;3,34;13,16;32,1;0,05;1,52
19,7;43,15;36,29;22;1,59;33,34;2,13;0,13;0;59,51;3,44;23,77;29,84;0,33;2,1;18,75;38,55;24,4;13;2,08;49,33;5,094;0,57;0;218,26;2,296;19,97;37,32;0,38;2,99;17,73;36,22;28,55;9;5,12;52,4;5,097;0,29;0;222,2;7,227;16,46;31,93;0,62;1,37
17,43;35,8;29,85;10;0,66;30,81;1,14;0;0;229,54;0,93;27,35;9,15;0;0;17,19;34,86;20,78;7;2,57;45,52;2,88;0;0;844;4,41;17,77;6,96;0;0;17,21;35,05;26,34;8;3,74;46,88;1,8;0;0;831;2,94;15,65;16,28;0;0,08
12,6;25,8;19,8;1;1,1;24;1,35;0;0;0;3;12,4;30,9;0;4,7;17,4;36,4;22,1;8;2,96;45,97;4,02;0;0;312;5,27;17,75;37,27;1,12;7,56;14,55;26,97;19,27;1;3,88;45,9;4,36;0;0;152;5,91;23,35;33,94;0,84;7,99
14,78;30,77;24,75;3;1,29;22,07;4,25;4,35;45,12;0;1,37;32,21;28,72;1,51;1,14;18,37;36,61;20,73;10;2,75;45,81;7,06;3,91;31,94;0;3,44;27,05;32,84;2,92;2,93;16,17;30,99;23,06;5;2,68;35,33;8,09;6,46;56,9;0;2,16;22,52;30,15;2,92;1,26
14,28;32;21,9;2;1,48;27,51;2,95;1,03;30,03;0,2;1,14;24,09;12,12;0;0;16,69;35,41;14,6;6;2,82;38,83;4,67;0,6;7,68;22,8;3,66;22,2;26,18;2,27;1,86;16,57;31,38;24,7;6;3,42;41,28;4,79;2,06;31,24;78,6;5,44;20,82;32,48;2,38;1,52
12,44;25,12;19,5;1;0,92;20,76;3,09;2,39;46,04;0;1,16;29,83;12,65;7,43;13,1;15,63;34,8;20,63;4;4,42;47,97;4,61;1,14;18,22;0;5,27;21,28;15,46;17,87;17,58;15,51;27,7;20,11;3;2,42;38,44;4,45;1,85;32,88;0;3,92;25,98;17,96;8;14,95
15,09;33,16;25,86;3;1,3;22,89;5,05;5,95;87,89;0;1,77;25,31;11,98;0,06;3,34;14,48;28,82;20,54;2;2,07;30,19;6,46;4,43;39,19;0;3,08;27,96;17;0,01;1,95;16,07;31,39;23;4;3,55;42,41;5,78;4,36;66,18;0;7,36;24,5;24,78;0,21;2,84
16,26;35,69;26,35;6;1,08;25,13;2,53;1,32;10,61;0;1,76;25,43;18,16;4,42;9;14,66;31,71;20,29;2;2,05;30,9;4,23;1,94;11,56;0;4,25;26,13;6,75;3,35;9,17;16,71;34,56;23,58;6;3,18;42,45;2,99;1,84;16,98;0;1,98;12,06;34,88;3,77;3,84
17,62;38,02;30,47;11;0,58;25,19;7,03;10,2;89,09;0;0,93;21,18;15,17;0;0;18,85;42,08;27,25;14;1,48;35,88;7,24;5,62;26,48;0;2,19;22,49;21,04;0,13;0,75;18,6;33,87;27,49;12;2,25;39,86;6,37;6,99;43,24;0;2,86;22,77;28,85;0,1;0,43
12,27;24,42;19,7;1;1,03;22,62;3,98;3,79;30,17;0;1,28;40,11;10,68;0;0;15,01;31,29;20,15;3;3,19;42,65;5,22;2,64;11,31;0;2,78;17;27,85;6,71;0;16,25;30,01;20,56;5;2,56;39,92;4,93;3,01;3,01;19,48;3;29,1;26,36;1,43;0,03
12,58;26,37;19,21;1;1,15;21,81;3,83;3,67;33,72;0;1,7;13,31;9,29;0;0,61;17,85;38,02;21,07;9;3,87;50,65;5,95;0,58;2,99;0;3,36;8,21;23,27;0;0,8;16,91;32,52;22,28;6;2,75;36,65;5,74;2,94;27,13;0;2,96;10,88;26,71;0;0,25
13,85;28,19;23,29;2;0,49;21,98;4,86;6,28;72,38;0;0,9;23,07;10,14;0;0;17,56;34,37;18,14;7;4,74;64,8;6,1;0,86;8,35;0;6,85;23,7;17,45;1,13;0,97;15,2;29,91;23,09;3;4,8;46,78;5,82;4,92;54,43;0;2,65;20,36;28,17;4,31;3,91
16,22;33,93;27,09;6;1,007;22,23;4,7;5,13;49,71;0;1,41;37,07;19,54;0,79;0,58;17,13;34,3;24,05;7;3,49;43,29;7,18;2,91;10,85;122,07;6,17;31,78;15,75;1,33;2,8;16,73;34,24;26,33;6;4,15;41,97;6,68;2,78;23,81;191,7;2,23;23,69;26,56;1,49;0,01
14,49;30,89;23,62;2;1,78;23,11;9,3;14,92;96,89;0;1,39;11,39;13,37;0,07;0,03;15,89;31,73;21,14;4;4,85;49,16;9,45;8,89;24,17;0;4,65;10,94;19,86;0,14;0,02;18,11;31,73;23,9;10;3,71;50,12;9,04;10,05;45,88;0;4,58;11,86;22,95;0,36;0,09
19,14;41,14;33,88;18;1,04;26,22;5,32;6,66;35,11;7,87;1,05;22,07;12,87;0;0;17,74;39,89;23,4;9;4,64;55,63;7,09;4,05;0,93;28,25;5,82;23,59;12,42;0;0;18,17;31,83;29,22;11;3,6;48,43;6,41;6,05;21,12;169,82;6,72;26,99;23,76;0;0
12,82;26,8;20,1;1;1,18;18,11;4,34;3,31;24,82;0;2,39;23,77;14,26;0,01;0;16,74;39,32;19,59;5;3,31;51,05;6,93;2,94;4,41;2,91;3,25;18,89;15,07;0,36;0;14,7;28,88;21,39;2;5,71;53,35;7,94;3,18;19,82;58,13;2,51;14,83;21,53;0,66;0
18,42;39,26;31,99;14;0,998;26,22;5,02;5,93;55,35;0;1,27;10,7;4,21;0;0;16,74;35,09;21,08;6;5,12;52,23;5,78;1,54;0,03;285,61;7,76;12,87;7,46;0;0;16,71;34,67;25,59;6;3,39;42,75;5,3;4,7;29,93;44,31;6,57;15,03;5,64;0;0
14,5;29,8;24,3;2;0,91;22,3;1,86;0;50,495;0,576428571;0,8;40,5;21,1;0,1;0,4;18,5;34,98;24,03;1;2,8;52,1;5,85;0;14,15071429;35,5;2,9;25,8;32,7;2,3;4,1;17,6;34,7;25,9;1;4,18;22,32;1,86;0;33,75357143;40,14571429;0,8;40,5;21,1;0,06;0,38
